Year-Month,GSCPI
2020-01,0.09010833640916566
2020-02,1.1919763143821067
2020-03,2.5460018992197972
2020-04,3.161703005349574
2020-05,2.537110414850587
2020-06,2.252426830584257
2020-07,2.7424145893545817
2020-08,1.354546716079383
2020-09,0.6156903180022034
2020-10,0.12151423478823081
2020-11,0.7402850309662862
2020-12,1.6612596699511293
2021-01,1.3298916666437832
2021-02,1.9087493402960893
2021-03,2.1990721766472414
2021-04,2.6829212436813266
2021-05,2.9817715425189966
2021-06,2.694347584998639
2021-07,2.922300515380269
2021-08,3.232758961683422
2021-09,3.275933294383687
2021-10,3.808737438270869
2021-11,4.212181170581154
2021-12,4.293309679380687
2022-01,3.5675415689750376
2022-02,2.732736423887588
2022-03,2.7507325205671096
2022-04,3.41768232666367
2022-05,2.637340125255853
2022-06,2.3410983512150456
2022-07,1.7713780747165995
2022-08,1.459909674160913
2022-09,0.9059242117686949
2022-10,1.044450752030586
2022-11,1.2084538962630231
2022-12,1.2876567694826062
2023-01,1.0239942264370165
2023-02,-0.2641116466596504
2023-03,-1.1539519537343268
2023-04,-1.3270397942642613
2023-05,-1.5443440427795896
2023-06,-1.0853522192822402
2023-07,-0.8319446047071594
